33.81,19.60,40.17,0.26,86.98,1.61,0.61,0.13,7.81,14.73,0.00,0.27,56.435204,13.458055
14.70,8.40,15.63,0.76,83.30,1.46,0.94,0.78,11.71,21.93,1.00,0.32,60.178181,5.077257
28.91,14.70,34.54,0.30,71.05,1.76,0.24,0.21,10.27,19.02,3.00,0.15,73.394554,17.494047
18.62,5.60,16.80,0.83,29.40,1.45,0.75,0.45,2.95,5.43,1.00,0.83,73.337219,10.351837
84.28,21.00,57.84,0.32,280.52,1.52,0.80,0.20,6.69,21.23,1.00,0.28,31.576117,24.840967
57.33,20.30,55.73,0.23,171.50,1.54,0.79,0.21,9.45,23.28,0.00,0.21,39.852909,18.663883
63.21,25.20,47.58,0.35,251.74,1.71,0.29,0.19,7.66,19.72,1.00,0.30,55.289906,32.341160
28.42,14.70,34.24,0.30,53.90,2.05,0.48,0.26,5.17,12.00,4.00,0.30,64.342636,16.321115
15.19,4.90,15.86,0.76,52.06,1.46,0.82,0.49,2.45,7.02,1.00,0.57,70.004547,6.176533
19.60,11.90,29.00,0.29,93.10,1.64,0.76,0.29,10.91,23.70,4.00,0.16,57.184513,3.612483
83.30,12.60,68.65,0.22,779.10,1.88,1.00,0.63,13.06,52.62,3.00,0.45,10.407729,34.761578
5.88,3.50,9.61,0.80,12.86,1.39,0.83,0.60,2.08,4.13,1.00,0.70,81.995583,11.483779
3.43,2.80,6.96,0.89,18.99,1.43,0.70,0.54,4.73,8.13,1.00,0.46,85.643517,8.710378
29.89,12.60,29.46,0.43,48.39,1.75,0.39,0.30,5.23,8.88,1.00,0.44,64.588181,10.005842
14.70,5.60,14.53,0.87,26.34,1.65,0.56,0.40,2.54,5.38,1.00,0.81,79.257271,12.031085
8.33,7.00,18.45,0.31,22.66,1.54,0.60,0.54,4.88,9.53,3.00,0.37,71.346138,3.550198
22.05,9.10,22.82,0.53,48.39,1.70,0.57,0.51,3.60,9.48,3.00,0.52,61.094521,4.151585
1.96,2.10,5.63,0.78,17.15,1.24,0.88,0.45,3.19,5.67,1.00,0.58,92.144592,13.989733
7.35,4.20,12.98,0.55,26.95,1.31,0.80,0.54,3.25,7.02,1.00,0.39,78.532005,7.088854
